 ,Label,Segment,Time,Area,Mean,StdDev,Perim.,IntDen,%Area,RawIntDen
1,Cortex 0.png,Cortex,0,1090980,0.318,2.266,4178,346405,0.768,346405
2,Cortex 3.png,Cortex,3,1087849,5.741,16.634,4172,6245523,4.884,6245523
3,Cortex 5.png,Cortex,5,1090980,1.027,2.967,4178,1120264,4.73,1120264
4,Cortex 10.png,Cortex,10,1088892,4.367,8.753,4174,4755668,9.965,4755668
5,Cortex 15.png,Cortex,15,1090980,13.688,14.085,4178,14933099,31.533,14933099
6,Cortex 20.png,Cortex,20,1088892,11.62,13.912,4174,12653360,21.296,12653360
7,Peri 0.png,Peri,0,1087849,0.488,2.925,4172,530657,0.931,530657
8,Peri 3.png,Peri,3,1089935,3.773,7.656,4176,4111861,9.938,4111861
9,Peri 5.png,Peri,5,1089936,4.705,10.866,4176,5128340,8.207,5128340
10,Peri 10.png,Peri,10,1092025,7.072,12.978,4180,7723264,30.307,7723264
11,Peri 15.png,Peri,15,1088892,11.293,15.504,4174,12296318,20.91,12296318
12,Peri 20.png,Peri,20,1087849,7.739,12.242,4172,8418849,15.03,8418849
