"time"	"deathP_CPT"	"deathP_PPT"
0	0	0
1	0.003783960342	0.002084494121
2	0.00314514057	0.003113642137
3	0.002767653729	0.003668338719
4	0.002531499542	0.003918826787
5	0.002370660716	0.003979341297
6	0.002255104735	0.003925542195
7	0.00216898959	0.003806897443
8	0.00210309395	0.003655267242
9	0.002051659359	0.003490770056
10	0.002010893789	0.003325755147
11	0.001978194065	0.003167476255
12	0.001951712301	0.003019882403
13	0.001930100216	0.00288481194
14	0.001912351289	0.002762784667
15	0.001897699524	0.002653523983
16	0.001885552397	0.002556298114
17	0.001875445182	0.002470140407
18	0.001867009086	0.002393989083
19	0.001859948521	0.002326773597
20	0.001854024575	0.00226746584
21	0.001849042791	0.002215108423
22	0.001844843958	0.002168828231
23	0.001841297095	0.002127840682
24	0.001838294011	0.002091448345
25	0.001835745048	0.002059036257
26	0.00183357571	0.00203006552
27	0.001831723963	0.002004066143
28	0.001830138063	0.001980629767
