"time"	"cell.id"	"cell.id"	"cell.center.y"

1	157	157	677.5535248
1	192	192	1027.061008
1	256	256	974.8190709
1	296	296	867.8277635
1	360	360	138.2059553

2	118	118	812.6169265
2	354	354	595.6169265

3	344	344	325.5066964
3	382	382	108.233853

4	302	302	1027.837416
5	409	409	216.2405345
5	436	436	325.3964365

6	119	119	840.8008949
6	598	598	353.5852018

7	212	212	974.6294643
8	43	43	1160.69265
8	126	126	1028.813901
8	191	191	999.6146993
8	419	419	487.9844789
8	449	449	56.97297297

9	154	154	1186.517857
9	607	607	595.6563193

10	513	513	542.6035635
10	545	545	163.5367483

11	365	365	271.9312639
12	473	473	83.04899777
13	338	338	164.639821
13	505	505	324.9444444

14	208	208	866.0067114
15	270	270	759.5111607
16	314	314	136.6121076
16	460	460	351.3
16	526	526	271.6302895
16	539	539	7.791946309

17	217	217	1109.278396
17	363	363	218

18	283	283	1109.251111
19	384	384	164.4944321
19	618	618	272

20	3	3	677.6592428
21	14	14	975.6116071
22	194	194	1082.062921
23	96	96	812.6948775
23	107	107	1110.133929
23	112	112	649.6585366

24	94	94	758.4632517
24	320	320	299

25	153	153	1162.89755
25	193	193	1056.017978

26	128	128	1083.002257
26	278	278	974.195122

27	261	261	1109.733333

